case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,paper,Paper |x|,abs,0,0.1,205,204,0.099609375,False,0a9d007d3445a8b010ad43112637bfd0c3ec31d6d8352afac01f4f5056c9aef2,0.6088887453079224,0.6088887453079224,0.9978553056716919,0.02969600073993206,0.04352000039070845,0.39759199999999995,0.40605919999999995,0.427288000739932,0.7784134987479447,0.8081094994878768,True,False,,0.0852837786078453,0.0856984406709671,0.0030744075775146484,0.9632493257522583,27,0.015359999611973763,0.01717440001666546,0.01945599913597107,0.020377599447965623,0.1815685,0.0880095,0.3460055,0.39534575,1.0,0.38082149874794485
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,205,205,0.10009765625,True,3e8490310fc8447d4ffa44f9681f9c0301ff05f861e39ac7f48497713b8771ef,0.3618302345275879,0.3618302345275879,0.9167448878288269,0.02969600073993206,0.04352000039070845,0.105687,0.120411,0.13538300073993206,0.373216499441266,0.40291250018119806,True,False,,0.42287421226501465,0.4114539325237274,0.09022563695907593,0.8290783762931824,4,0.015359999611973763,0.016281599923968316,0.021503999829292297,0.02242560014128685,0.09635,0.0844925,0.2306655,0.23818994999999998,1.0,0.267529499441266
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,205,205,0.10009765625,True,022ec0aa0a3ccf3099e782f15ed048f38a632f50b92cd527fd0afd987d64f7b4,0.36411914229393005,0.36411914229393005,0.9167559146881104,0.02969600073993206,0.04352000039070845,0.1020555,0.10600965,0.13175150073993205,0.4118804997879266,0.4415765005278587,True,False,,0.42239582538604736,0.41113537549972534,0.08998310565948486,0.829091489315033,4,0.015359999611973763,0.015359999611973763,0.02252800017595291,0.02252800017595291,0.116913,0.0935645,0.271937,0.2839565,1.0,0.30982499978792666
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_x2_lookup,Cell-1 X² lookup,x2,0,0.1,205,205,0.10009765625,True,de090f6c5a884de86684c4dfd7407e3394bf2962820650301e382e253d120fda,0.7826535105705261,0.3168691098690033,0.9241177439689636,0.022816000506281853,0.028835199400782583,0.09737699999999999,0.11180849999999999,0.12019300050628184,0.35482050012892485,0.3776365006352067,True,False,,0.4851352274417877,0.45216408371925354,0.12527918815612793,0.8525275588035583,3,0.01532800029963255,0.01532800029963255,0.021503999829292297,0.021503999829292297,0.0834805,0.08827950000000001,0.22061150000000002,0.25312625,1.0,0.25744350012892486
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_x2_twoline,Cell-1 X² 2-line,x2,0,0.1,205,205,0.10009765625,True,3cfe63eb92c8d3a4f52a23d9a5f081e564cb53b094a7b7963cf8ab80b0b1b7c6,0.8279417753219604,0.3557092845439911,0.9353296756744385,0.022816000506281853,0.028835199400782583,0.081988,0.0851848,0.10480400050628186,0.3057864996792674,0.32860250018554926,True,False,,0.4298987090587616,0.4068151116371155,0.09619748592376709,0.8629153370857239,4,0.014336000196635723,0.015286399889737368,0.020479999482631683,0.021401599794626237,0.07486,0.0787515,0.1889825,0.18967685,1.0,0.2237984996792674
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,paper,Paper |x|,abs,1,0.15,307,306,0.1494140625,False,6cdff46d9b66c685b96148f493efe57d9c37f9d8c9b3ea938d8c3d28aa13e575,0.6646987795829773,0.6646987795829773,0.9989866018295288,0.02969600073993206,0.04352000039070845,0.448692,0.4504641,0.47838800073993204,0.7437304996359348,0.7734265003758669,True,False,,0.05219857767224312,0.056335072964429855,0.0011838674545288086,0.9798941016197205,33,0.014208000153303146,0.01535999970510602,0.020479999482631683,0.021401599794626237,0.0837815,0.1185865,0.2603505,0.27794684999999997,1.0,0.2950384996359348
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,307,307,0.14990234375,True,4a27bfbc4da35a7b998da01d6ca2bee92185176af5a8335b0bff272d6a85431f,0.43901383876800537,0.43901383876800537,0.9615225791931152,0.02969600073993206,0.04352000039070845,0.08374100000000001,0.0869198,0.11343700073993207,0.3589940010659099,0.38869000180584196,True,False,,0.35673436522483826,0.3142850697040558,0.0627252459526062,0.8614912033081055,5,0.014336000196635723,0.015372799709439278,0.02457600086927414,0.025497599504888058,0.084177,0.114413,0.236341,0.2404432,1.0,0.2752530010659099
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,307,307,0.14990234375,True,d65b0bc401cd8456e33cccda329a698e6207b2cb88a00b11abe18a7597466273,0.44353029131889343,0.44353029131889343,0.9615820646286011,0.02969600073993206,0.04352000039070845,0.0829095,0.08526705,0.11260550073993206,0.3496884995499253,0.3793845002898574,True,False,,0.354877233505249,0.3127950131893158,0.06196880340576172,0.8616095185279846,5,0.014336000196635723,0.015257599670439959,0.025599999353289604,0.025599999353289604,0.07214949999999999,0.1156955,0.22684300000000002,0.2351473,1.0,0.26677899954992534
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_x2_lookup,Cell-1 X² lookup,x2,1,0.15,307,307,0.14990234375,True,d25ac7f4637335bb214e97afb21ce85b4bd903dc8a1ce07daf8f8b991f5d415f,0.8614259958267212,0.41328659653663635,0.952171802520752,0.022816000506281853,0.028835199400782583,0.108377,0.1171547,0.13119300050628185,0.386691499311924,0.40950749981820583,True,False,,0.37434831261634827,0.34428128600120544,0.0698859691619873,0.8576676249504089,5,0.016383999958634377,0.018227200582623483,0.025599999353289604,0.026521599665284157,0.0774695,0.119252,0.2363305,0.24723175,1.0,0.278314499311924
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,tiny11,TinyLlama-1.1B-Chat-v1.0,cal_short_factual,calibration,short,31,model.layers.0.self_attn.q_proj,0,q,2048x2048,2048,2048,4.0,generic-8KiB,cell1_x2_twoline,Cell-1 X² 2-line,x2,1,0.15,307,307,0.14990234375,True,d25ac7f4637335bb214e97afb21ce85b4bd903dc8a1ce07daf8f8b991f5d415f,0.8614259958267212,0.41328659653663635,0.952171802520752,0.022816000506281853,0.028835199400782583,0.0940155,0.09605355,0.11683150050628185,0.372329999311924,0.39514599981820586,True,False,,0.37434831261634827,0.34428128600120544,0.0698859691619873,0.8576676249504089,5,0.016383999958634377,0.018227200582623483,0.025599999353289604,0.026521599665284157,0.0774695,0.119252,0.2363305,0.24723175,1.0,0.278314499311924
